"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"95","1966","7","Maharashtra","Bombay","38.0","1.5","8.0","12.5","1.4","1.7","5.0","0.2","7.0","7.2","102.86"
"95","1967","7","Maharashtra","Bombay","37.8","1.5","6.1","14.6","1.4","1.7","5.0","0.2","7.0","7.1","101.43"
"95","1968","7","Maharashtra","Bombay","37.8","1.5","6.1","14.6","1.7","1.7","5.4","0.0","6.8","7.0","102.94"
"95","1969","7","Maharashtra","Bombay","37.7","1.5","6.1","14.6","1.6","1.7","5.3","0.0","7.0","7.1","101.43"
"95","1970","7","Maharashtra","Bombay","38.0","1.5","7.2","15.8","1.4","1.2","3.6","0.3","7.0","7.1","101.43"
"95","1971","7","Maharashtra","Bombay","38.0","1.5","7.2","15.9","1.2","1.2","3.6","1.3","6.1","6.2","101.64"
"95","1972","7","Maharashtra","Bombay","38.0","1.5","7.2","16.3","1.3","1.2","3.3","0.3","6.9","7.0","101.45"
"95","1973","7","Maharashtra","Bombay","38.0","1.5","7.2","7.2","1.4","1.2","2.1","0.3","7.1","7.3","102.82"
"95","1974","7","Maharashtra","Bombay","38.0","1.5","7.2","17.6","0.9","0.9","2.8","0.2","6.9","7.0","101.45"
"95","1975","7","Maharashtra","Bombay","38.0","1.5","7.3","18.3","0.9","0.8","0.8","0.1","8.3","8.6","103.61"
"95","1976","7","Maharashtra","Bombay","38.0","1.5","7.3","19.0","1.0","1.0","1.8","0.3","6.6","6.8","103.03"
"95","1977","7","Maharashtra","Bombay","38.0","1.5","7.3","19.0","0.9","0.6","1.8","0.3","6.6","6.8","103.03"
"95","1978","7","Maharashtra","Bombay","38.0","1.5","7.3","20.5","0.9","0.6","0.6","0.0","6.6","6.8","103.03"
"95","1979","7","Maharashtra","Bombay","38.0","1.5","7.3","20.9","0.7","0.6","0.6","0.0","5.0","7.0","140.0"
"95","1980","7","Maharashtra","Bombay","38.0","1.5","7.3","20.9","0.9","0.6","0.6","0.0","6.4","6.5","101.56"
"95","1981","7","Maharashtra","Bombay","38.0","1.5","7.3","20.9","0.7","0.6","0.6","0.0","6.4","6.5","101.56"
"95","1982","7","Maharashtra","Bombay","38.0","1.5","7.3","20.9","0.7","0.6","0.8","0.0","6.2","6.3","101.61"
