model,id,state_no,crop_name,yieldd
newsapp.showAI,94,114,GROUNDNUT_YIELD,1438.4815
newsapp.showAI,95,114,SOYABEAN_YIELD,1426.634
newsapp.showAI,96,115,MAIZE_YIELD,2277.4922
newsapp.showAI,97,115,WheatYD,1756.707
newsapp.showAI,98,115,SOYABEAN_YIELD,1263.6459
newsapp.showAI,99,115,OILSEEDS_YIELD,1250.6957
newsapp.showAI,100,115,CHICKPEA_YIELD,1134.0143
newsapp.showAI,101,116,MAIZE_YIELD,1791.9263
newsapp.showAI,102,116,GROUNDNUT_YIELD,1349.4873
newsapp.showAI,103,116,WheatYD,1223.5424
newsapp.showAI,104,116,SOYABEAN_YIELD,1110.1345
newsapp.showAI,105,116,OILSEEDS_YIELD,1049.8579
newsapp.showAI,106,117,GROUNDNUT_YIELD,1555.2608
newsapp.showAI,107,117,WheatYD,1514.5331
newsapp.showAI,108,117,PIGEONPEA_YIELD,937.4966
newsapp.showAI,109,117,SOYABEAN_YIELD,901.9301
newsapp.showAI,110,117,MAIZE_YIELD,820
newsapp.showAI,111,118,MAIZE_YIELD,2062.5
newsapp.showAI,112,118,WheatYD,1306.385
newsapp.showAI,113,118,RiceYD,1208.7046
newsapp.showAI,114,118,GROUNDNUT_YIELD,892.8778
newsapp.showAI,115,118,KharifSorghumYD,679.2247
newsapp.showAI,116,119,MAIZE_YIELD,2101.001
newsapp.showAI,117,119,RiceYD,1463.3241
newsapp.showAI,118,119,WheatYD,1098.6196
newsapp.showAI,119,119,GROUNDNUT_YIELD,799
newsapp.showAI,120,119,PIGEONPEA_YIELD,711.4168
newsapp.showAI,121,120,KharifSorghumYD,1367.5623
newsapp.showAI,122,120,GROUNDNUT_YIELD,1215.666667
newsapp.showAI,123,120,PIGEONPEA_YIELD,1047.3114
newsapp.showAI,124,120,SUGARCANE_YIELD,1020.6
newsapp.showAI,125,120,RiceYD,946.7012
96,GROUNDNUT_YIELD,1105.15
96,CHICKPEA_YIELD,978.3839
96,MAIZE_YIELD,940.0
96,FINGER_MILLET_YIELD,739.2224
96,MINOR_PULSES_YIELD,594.5032
