state_number,crop_name,RMS_RandomForest,RandomForest,RMS_LinearRegression,LinearRegression
99,MINOR PULSES AREA (1000 ha),3.502071599,22.6586,18.2990912,4.9656454
99,MINOR_PULSES_PRODUCTION,14.25845134,23.8403,30.74480176,25.90762063
99,MINOR_PULSES_YIELD,328.477245,907.2362,353.608027,966.4938155
99,GROUNDNUT_YIELD,453.36232,990.2885,365.203135,955.042465
99,SESAMUM_YIELD,226.5616656,386.4284,284.2654509,416.0400095
99,RAPESEEDandMUSTARD_YIELD,567.705029,17,560.9509276,29.28774313
99,SAFFLOWER_YIELD,399.5868742,394.3333333,309.3084576,407.3732406
99,CASTOR_YIELD,113.6929878,237.0924,70.03282927,264.2305195
99,LINSEED_YIELD,288.6751346,0,288.6751346,0
99,SUNFLOWER_YIELD,401.2531628,783.3335,920.3490314,1527.125862
99,SOYABEAN_YIELD,376.4402471,1425.8121,419.1394896,1433.375037
99,OILSEEDS_YIELD,999.0737726,1329.2556,895.1794064,1270.345262
99,SUGARCANE_YIELD,540.4786626,7953.7879,396.1096362,7894.512085
99,COTTON_YIELD,236.9864613,315.4841,258.2426252,372.4076813
99,FRUITS_AREA,31.9497375,31.9497375,29.01824273,27.72487988
99,VEGETABLES_AREA,39.84487393,9.290003333,34.26343386,24.79625312
99,FRUITSandVEGETABLES_AREA,66.22606527,16.6483925,60.74537012,44.9859553
99,POTATOES_AREA ,0.112112465,0.048262143,0.052821479,0.03863425
99,ONION_AREA,92.9276,92.9276,71.65966963,70.19683349
99,FODDER_AREA,0,0,0,0
100,RiceYD,137.5273332,927.6146,102.4803125,1106.178108
100,WheatYD,230.3347803,2019.4118,227.0601706,1966.876793
100,KharifSorghumYD,365.1938889,1580.646,254.9182197,1379.674057
100,RabiSorghumYD,121.280108,1190.2719,148.6308669,1209.980666
100,PEARL_MILLET_YIELD,346.3180292,960.3675,318.2175135,806.6547238
100,MAIZE_YIELD,617.7042586,2329.2042,690.4353138,2467.479709
100,FINGER_MILLET_YIELD,618.3838538,1405.3937,582.4125527,1420.522539
100,BARLEY YIELD,0,0,0,0
100,CHICKPEA_YIELD,911.1191149,940.5081,983.1793784,997.4569651
100,PIGEONPEA_YIELD,222.2919568,609.1481,161.9596033,536.7294577
100,MINOR PULSES AREA (1000 ha),5.941352372,48.8723,13.21585391,43.2520622
100,MINOR_PULSES_PRODUCTION,18.89968396,43.2611,13.25335997,35.84534702
100,MINOR_PULSES_YIELD,168.9863779,441.3173,95.61196707,442.954039
100,GROUNDNUT_YIELD,205.2913145,954.0177,228.0976612,920.7483363
100,SESAMUM_YIELD,113.8435113,407.4876,98.3727508,289.9377799
100,RAPESEEDandMUSTARD_YIELD,225.9590128,40,296.8861719,-4.32455511
100,SAFFLOWER_YIELD,132.2304757,389.3979,208.8188979,554.0355701
100,CASTOR_YIELD,154.0776288,344.4109,147.0738415,280.9026824
100,LINSEED_YIELD,0,0,0,0
100,SUNFLOWER_YIELD,369.7107165,854.8642,684.6833032,-303.0245572
100,SOYABEAN_YIELD,334.4903721,1376.0501,209.2138082,1013.982941
100,OILSEEDS_YIELD,848.542525,1026.8593,507.4668983,930.2261821
100,SUGARCANE_YIELD,870.0806495,7584.2172,1163.052582,7411.664585
100,COTTON_YIELD,62.2832232,265.0734,92.43376682,282.593318
100,FRUITS_AREA,5.613510211,1.35728,4.738216496,3.72928902
100,VEGETABLES_AREA,6.52187698,4.078514167,5.952592883,6.32780491
100,FRUITSandVEGETABLES_AREA,11.89892093,3.4985275,10.74383297,9.99124813
100,POTATOES_AREA ,0,0,0,0
100,ONION_AREA,12.42755874,7.8161,13.89990763,9.07329708
100,FODDER_AREA,0,0,0,0
101,RiceYD,607.5,607.5,420.4831949,420.4831949
101,WheatYD,512.4360136,2222.2066,641.4275479,2354.615894
101,KharifSorghumYD,528.6645921,2138.3086,503.0065588,2087.999697
101,RabiSorghumYD,240.9388776,1476.0374,185.4194499,1287.828566
101,PEARL_MILLET_YIELD,489.2890694,1325.2418,463.0187514,1145.702896
101,MAIZE_YIELD,937.3447136,3156.8233,764.4702963,2896.613669
101,FINGER_MILLET_YIELD,0,0,0,0
101,BARLEY YIELD,0,0,0,0
101,CHICKPEA_YIELD,281.8431692,1113.185,260.0896016,1056.309664
101,PIGEONPEA_YIELD,190.8000171,801.6326,218.107332,669.1773944
101,MINOR PULSES AREA (1000 ha),9.789075578,75.868,10.13702243,70.03935038
101,MINOR_PULSES_PRODUCTION,21.70649226,46.0135,43.77913438,65.58205751
101,MINOR_PULSES_YIELD,178.9139546,531.7323,180.7839917,515.4262324
101,GROUNDNUT_YIELD,340.3762777,1193.2012,442.5159295,1154.847248
101,SESAMUM_YIELD,132.0154247,376.942,118.4882933,384.9454294
101,RAPESEEDandMUSTARD_YIELD,457.4695766,156.6607143,452.0372495,208.6940391
101,SAFFLOWER_YIELD,347.9977121,222.3402533,302.2273407,224.503009
101,CASTOR_YIELD,116.6311035,240,95.84240432,192.2203649
101,LINSEED_YIELD,294.4486373,0,294.4486373,0
101,SUNFLOWER_YIELD,302.6921153,529.2321,399.6612163,444.9741452
101,SOYABEAN_YIELD,744.7112987,1824.0351,766.3596161,1765.793506
101,OILSEEDS_YIELD,1123.363238,1529.3913,1142.299458,1679.431428
101,SUGARCANE_YIELD,1415.439488,7291.304,1221.494153,7160.777101
101,COTTON_YIELD,57.72530863,290.2324,14.43982581,213.4343853
101,FRUITS_AREA,14.02386256,5.3048475,13.68702322,12.5578161
101,VEGETABLES_AREA,1.703673291,0.307905,2.636193586,-1.8228261
101,FRUITSandVEGETABLES_AREA,15.0237192,3.771725833,16.2011461,15.70349267
101,POTATOES_AREA ,0.004318452,0.004318452,0.004285714,0.00428571
101,ONION_AREA,2.982453684,1.3156,4.674781302,2.88722395
101,FODDER_AREA,0,0,0,0
102,RiceYD,934.0381259,1628.0962,1245.672421,913.3050537
102,WheatYD,464.4704905,1631.6691,511.0069888,1639.711084
102,KharifSorghumYD,381.4643732,0,305.2326186,-22.49568778
102,RabiSorghumYD,203.5357111,496.2975,162.349482,478.9334592
102,PEARL_MILLET_YIELD,347.2800371,642.6266,408.786641,719.3396401
102,MAIZE_YIELD,758.6790511,2605.2317,1110.227057,3314.749232
102,FINGER_MILLET_YIELD,131.8171666,1199.5401,171.448679,1170.183245
102,BARLEY YIELD,0,0,0,0
102,CHICKPEA_YIELD,158.7707312,622.7333,144.0343772,588.4920261
102,PIGEONPEA_YIELD,462.5894413,488.5588,611.1394255,509.0347218
102,MINOR PULSES AREA (1000 ha),48.74427666,18.1732,46.03024119,23.1981102
102,MINOR_PULSES_PRODUCTION,13.71468324,8.0344,13.92734002,9.99953577
102,MINOR_PULSES_YIELD,372.5308159,307.5129,758.5122859,-262.7581812
102,GROUNDNUT_YIELD,385.1093169,1043.3496,402.7041252,922.1013745
102,SESAMUM_YIELD,194.9505044,253.349,132.0301718,222.4478978
102,RAPESEEDandMUSTARD_YIELD,121.1150354,11,215.9993003,74.7987636
102,SAFFLOWER_YIELD,126.7461707,178.7665,130.1213588,134.8456702
102,CASTOR_YIELD,209.5996678,120.6666667,211.917533,161.3903922
102,LINSEED_YIELD,310.5195316,390.0305,409.4954926,412.4996914
102,SUNFLOWER_YIELD,241.1021286,514.6149,257.7162638,451.6700048
102,SOYABEAN_YIELD,712.0296815,1518.6514,1694.917388,2606.472368
102,OILSEEDS_YIELD,927.8273219,1040.84,1189.87937,1211.98982
102,SUGARCANE_YIELD,2213.852806,8170.824,1981.617865,8142.210665
102,COTTON_YIELD,126.8034688,272.3562,208.5489411,334.8158605
102,FRUITS_AREA,9.2752875,9.2752875,9.716993788,9.71699379
102,VEGETABLES_AREA,0,0,2.250389979,2.25038998
102,FRUITSandVEGETABLES_AREA,9.2752875,9.2752875,6.818218391,6.81821839
102,POTATOES_AREA ,0,0,0.006331999,0.006332
102,ONION_AREA,0,0,4.557581556,4.55758156
102,FODDER_AREA,0,0,0,0
103,RiceYD,505.2191398,1693.6999,354.8015605,1599.671209
103,WheatYD,580.0296463,1888.7594,632.1140737,1930.361519
103,KharifSorghumYD,426.6769768,715.7724,433.7796097,863.4716116
103,RabiSorghumYD,183.307798,622.5316,184.2099741,547.2253681
103,PEARL_MILLET_YIELD,99.90360545,711.2061,115.5033038,532.8643662
103,MAIZE_YIELD,1872.081475,2875.9046,1896.34575,2886.9032
103,FINGER_MILLET_YIELD,238.3006585,1204.3567,285.663264,1158.695331
103,BARLEY YIELD,0,0,0,0
103,CHICKPEA_YIELD,192.1654079,892.9926,177.9359492,811.3614149
103,PIGEONPEA_YIELD,277.7137067,576.1554,297.1102577,663.3073634
103,MINOR PULSES AREA (1000 ha),9.226691754,18.6866,6.901318052,23.53693373
103,MINOR_PULSES_PRODUCTION,2.913860421,11.2514,5.14397765,14.88266732
103,MINOR_PULSES_YIELD,169.4982068,455.1526,216.1897016,531.1306757
103,GROUNDNUT_YIELD,279.8954738,1099.4596,267.6756072,1105.966143
103,SESAMUM_YIELD,136.6289034,263.7163,201.0594621,442.181359
103,RAPESEEDandMUSTARD_YIELD,211.5928703,37.3334,189.7280811,112.3288287
103,SAFFLOWER_YIELD,493.1283034,606.0813,434.8511355,569.4043223
103,CASTOR_YIELD,108.9984072,138.0833333,71.6271516,133.7504846
103,LINSEED_YIELD,0,0,17.14366177,17.14366177
103,SUNFLOWER_YIELD,275.3568984,577.4578,309.338652,556.7540279
103,SOYABEAN_YIELD,402.816444,2445.5745,561.7764594,2690.538621
103,OILSEEDS_YIELD,1144.22801,1077.3537,1315.538638,1179.686398
103,SUGARCANE_YIELD,1152.424726,11169.1739,1443.09669,11129.79157
103,COTTON_YIELD,85,85,94.49826568,94.49826568
103,FRUITS_AREA,4.694133151,0.793428333,9.290935011,2.50334772
103,VEGETABLES_AREA,15.24285583,11.65541333,12.70948672,11.45579244
103,FRUITSandVEGETABLES_AREA,18.61232084,4.264935,21.47385266,23.1998465
103,POTATOES_AREA ,2.220162675,1.900254167,2.802268973,3.47005655
103,ONION_AREA,22.1342,22.1342,7.964014438,7.93190185
103,FODDER_AREA,0,0,0,0
104,RiceYD,166.6025837,1691.2587,226.0708898,1898.89127
104,WheatYD,205.2772522,1906.9069,181.8498277,1861.250953
